"authors.keyword: Descending",Count
"Y. Song",1355
"Hong Zhou",1354
"Takashi Yamamoto",1354
"M. Hayashi",1352
"Patrick W. Serruys",1352
"Yan Zhu",1352
"Xiang Chen",1351
"Jan Balzarini",1350
"Roger Williams",1349
"Bo Wu",1347
"P. Li",1345
"Qin Li",1344
"Jie Yu",1342
"M. Fischer",1342
"T. Murakami",1341
"Yang Lu",1341
"N. Tanaka",1340
"J. H. Lee",1339
"T. Yamazaki",1339
"Fang Fang",1338
"Kun Liu",1337
"M. Hasegawa",1337
"BETTE HILEMAN",1336
"Cong Wang",1336
"P. Singh",1336
"H. Lu",1334
"Sheng Wang",1334
"C. Schmidt",1333
"Jun Sun",1333
"Ling Liu",1333
"F. Chen",1332
"Sheng Zhang",1330
"W. Yang",1330
"Wei Shen",1330
"A. Chen",1329
"C. Wu",1329
"Albert Hofman",1328
"Donald O. Thompson",1328
"T. Sakai",1328
"L. Sun",1327
"Bruce Bower",1326
"Dale E. Chimenti",1326
"Makoto Suzuki",1326
"Juan Zhang",1325
"Liang Liu",1325
"Li Zhu",1324
"Xuan Zhang",1324
"et al",1324
"Akira Nakamura",1323
"S. Hayashi",1323
"T. Nakagawa",1323
"Na Zhang",1322
"Ming Zhou",1320
"Robert Anderson",1318
"T. Sakurai",1318
"G. Bauer",1317
"J. Tang",1317
"Marilyn M. Olmstead",1316
"A. White",1315
"R. Tanaka",1314
"W. Zhao",1313
"R. Li",1312
"H. Fischer",1310
"N. Kobayashi",1310
"D. Martin",1309
"Na Wang",1309
"R. Martin",1308
"Akira Suzuki",1307
"F. Yang",1307
"Tracy B. Mallory",1307
"W. Sun",1306
"John Maddox",1305
"K. Ueda",1305
"S. Yamaguchi",1305
"Ting Liu",1305
"A. Thomas",1304
"Carl Djerassi",1304
"L. Ma",1303
"F. Martin",1302
"Lei Sun",1302
"Min Zhao",1302
"S. Roth",1302
"Z. Zhao",1302
"Keizo Sugimachi",1301
"G. Williams",1300
"H. Takeda",1299
"K. Ishii",1299
"Jin Chen",1298
"M. Okada",1298
"Jie Gao",1296
"N. Sato",1294
"A. Martinez",1293
"A. Weber",1293
"Y. He",1293
"M. Roth",1290
"Ming Wang",1290
"Richard G. Compton",1290
"Tao Zhou",1287
"Hiroshi Kobayashi",1286
"Ajay Kumar",1285
"G. Yang",1285
"Qiang Wu",1285
"Colin Macilwain",1283
"M. Schumacher",1282
"S. Shimizu",1282
"Wei Yan",1282
"Rong Chen",1281
"V. Sharma",1281
"Mei Wang",1280
